Model,DAG,Average Precision,AUROC,Precision,Recall,F1 Score,Accuracy,ECE,# Features,# Biomarkers
XGB,Clinician Consensus,"0.76 (0.73, 0.80)","0.90 (0.88, 0.92)","0.89 (0.87, 0.91)","0.79 (0.77, 0.81)","0.83 (0.81, 0.85)","0.94 (0.94, 0.95)",0.101,126,9
Generative LGBN,Simplified Clinician Consensus,"0.49 (0.45, 0.54)","0.81 (0.79, 0.84)","0.74 (0.72, 0.77)","0.75 (0.73, 0.77)","0.75 (0.73, 0.77)","0.90 (0.89, 0.91)",0.115,93,5
XGB,Simplified Clinician Consensus,"0.73 (0.69, 0.76)","0.89 (0.87, 0.91)","0.89 (0.87, 0.91)","0.78 (0.75, 0.80)","0.82 (0.80, 0.84)","0.94 (0.93, 0.95)",0.108,93,5
Generative LGBN,Clinician Consensus $\cap$ PCMB,"0.57 (0.52, 0.61)","0.80 (0.77, 0.83)","0.77 (0.75, 0.80)","0.74 (0.71, 0.76)","0.75 (0.73, 0.77)","0.91 (0.90, 0.92)",0.098,14,8
XGB,Clinician Consensus $\cap$ PCMB,"0.66 (0.62, 0.70)","0.84 (0.82, 0.86)","0.87 (0.84, 0.89)","0.74 (0.72, 0.77)","0.79 (0.77, 0.81)","0.93 (0.92, 0.94)",0.123,14,8
Generative LGBN,Golem,"0.26 (0.22, 0.30)","0.70 (0.68, 0.73)","0.63 (0.59, 0.66)","0.56 (0.54, 0.58)","0.57 (0.55, 0.60)","0.88 (0.87, 0.89)",0.051,15,10
XGB,Golem,"0.54 (0.50, 0.59)","0.84 (0.82, 0.86)","0.77 (0.74, 0.80)","0.68 (0.66, 0.70)","0.71 (0.69, 0.73)","0.91 (0.90, 0.91)",0.115,15,10
Generative LGBN,PCMB,"0.56 (0.51, 0.61)","0.81 (0.79, 0.84)","0.75 (0.72, 0.77)","0.74 (0.71, 0.76)","0.74 (0.72, 0.76)","0.90 (0.89, 0.91)",0.109,18,11
XGB,PCMB,"0.69 (0.65, 0.73)","0.87 (0.85, 0.89)","0.87 (0.84, 0.89)","0.75 (0.73, 0.77)","0.79 (0.77, 0.82)","0.93 (0.92, 0.94)",0.120,18,11
Generative LGBN,Simplified Clinician Consensus $\cap$ Simplified PCMB,"0.49 (0.45, 0.54)","0.81 (0.79, 0.84)","0.74 (0.72, 0.77)","0.75 (0.73, 0.77)","0.75 (0.73, 0.77)","0.90 (0.89, 0.91)",0.115,93,5
XGB,Simplified Clinician Consensus $\cap$ Simplified PCMB,"0.73 (0.69, 0.76)","0.89 (0.87, 0.91)","0.89 (0.87, 0.91)","0.78 (0.75, 0.80)","0.82 (0.80, 0.84)","0.94 (0.93, 0.95)",0.108,93,5
Generative LGBN,Simplified PCMB,"0.47 (0.42, 0.51)","0.83 (0.80, 0.85)","0.73 (0.71, 0.76)","0.74 (0.72, 0.77)","0.74 (0.72, 0.76)","0.89 (0.88, 0.90)",0.116,131,7
XGB,Simplified PCMB,"0.76 (0.73, 0.80)","0.91 (0.89, 0.92)","0.89 (0.87, 0.91)","0.79 (0.77, 0.81)","0.83 (0.81, 0.85)","0.94 (0.93, 0.95)",0.104,131,7
Generative LGBN,Clinician Consensus $\cap$ Golem,"0.18 (0.15, 0.21)","0.55 (0.52, 0.58)","0.63 (0.59, 0.67)","0.54 (0.52, 0.55)","0.55 (0.52, 0.57)","0.88 (0.87, 0.89)",0.189,7,4
XGB,Clinician Consensus $\cap$ Golem,"0.25 (0.21, 0.29)","0.65 (0.62, 0.68)","0.70 (0.65, 0.74)","0.56 (0.54, 0.57)","0.57 (0.55, 0.59)","0.89 (0.88, 0.90)",0.124,7,4
Generative LGBN,Simplified Golem,"0.48 (0.44, 0.53)","0.84 (0.81, 0.86)","0.73 (0.71, 0.75)","0.75 (0.73, 0.78)","0.74 (0.72, 0.76)","0.89 (0.88, 0.90)",0.125,149,8
XGB,Simplified Golem,"0.76 (0.72, 0.79)","0.91 (0.89, 0.92)","0.90 (0.88, 0.92)","0.79 (0.77, 0.81)","0.83 (0.81, 0.85)","0.94 (0.94, 0.95)",0.102,149,8
Generative LGBN,Golem $\cup$ PCMB,"0.55 (0.51, 0.60)","0.84 (0.81, 0.86)","0.76 (0.74, 0.79)","0.75 (0.73, 0.77)","0.76 (0.74, 0.78)","0.91 (0.90, 0.91)",0.106,33,16
XGB,Golem $\cup$ PCMB,"0.73 (0.69, 0.77)","0.90 (0.88, 0.91)","0.88 (0.86, 0.90)","0.77 (0.75, 0.80)","0.82 (0.79, 0.84)","0.94 (0.93, 0.95)",0.109,33,16
Generative LGBN,Simplified Golem $\cap$ Simplified PCMB,"0.47 (0.42, 0.52)","0.81 (0.79, 0.84)","0.73 (0.71, 0.76)","0.71 (0.69, 0.74)","0.72 (0.70, 0.75)","0.90 (0.89, 0.91)",0.101,57,3
XGB,Simplified Golem $\cap$ Simplified PCMB,"0.71 (0.68, 0.75)","0.89 (0.87, 0.91)","0.86 (0.84, 0.89)","0.77 (0.75, 0.80)","0.81 (0.79, 0.83)","0.93 (0.93, 0.94)",0.113,57,3
Generative LGBN,Simplified Clinician Consensus $\cap$ Simplified Golem,"0.43 (0.39, 0.49)","0.80 (0.77, 0.82)","0.70 (0.68, 0.73)","0.70 (0.68, 0.73)","0.70 (0.68, 0.73)","0.88 (0.87, 0.89)",0.111,38,2
XGB,Simplified Clinician Consensus $\cap$ Simplified Golem,"0.66 (0.62, 0.70)","0.86 (0.84, 0.88)","0.85 (0.82, 0.87)","0.74 (0.72, 0.76)","0.78 (0.76, 0.80)","0.93 (0.92, 0.93)",0.116,38,2
