Model,DAG,Average Precision,AUROC,Precision,Recall,F1 Score,Accuracy,ECE,# Features,# Biomarkers
Generative LGBN,Simplified PCMB,"0.53 (0.49, 0.58)","0.87 (0.85, 0.89)","0.78 (0.76, 0.81)","0.79 (0.76, 0.81)","0.78 (0.76, 0.81)","0.92 (0.91, 0.92)",0.111,296,17
XGB,Simplified PCMB,"0.78 (0.75, 0.82)","0.91 (0.89, 0.93)","0.92 (0.91, 0.94)","0.79 (0.77, 0.81)","0.84 (0.82, 0.86)","0.95 (0.94, 0.95)",0.092,296,17
Generative LGBN,Clinician Consensus $\cap$ Golem,"0.18 (0.15, 0.21)","0.55 (0.52, 0.58)","0.63 (0.59, 0.67)","0.54 (0.52, 0.55)","0.55 (0.52, 0.57)","0.88 (0.87, 0.89)",0.189,7,4
XGB,Clinician Consensus $\cap$ Golem,"0.25 (0.21, 0.29)","0.65 (0.62, 0.68)","0.70 (0.65, 0.74)","0.56 (0.54, 0.57)","0.57 (0.55, 0.59)","0.89 (0.88, 0.90)",0.124,7,4
Generative LGBN,Simplified Golem,"0.52 (0.48, 0.57)","0.85 (0.83, 0.87)","0.76 (0.74, 0.79)","0.77 (0.75, 0.80)","0.77 (0.75, 0.79)","0.91 (0.90, 0.92)",0.116,199,11
XGB,Simplified Golem,"0.77 (0.74, 0.80)","0.91 (0.89, 0.93)","0.91 (0.90, 0.93)","0.79 (0.76, 0.81)","0.83 (0.82, 0.86)","0.94 (0.94, 0.95)",0.095,199,11
Generative LGBN,Golem $\cup$ PCMB,"0.58 (0.54, 0.63)","0.85 (0.82, 0.87)","0.78 (0.76, 0.80)","0.76 (0.74, 0.78)","0.77 (0.75, 0.79)","0.91 (0.90, 0.92)",0.104,42,21
XGB,Golem $\cup$ PCMB,"0.74 (0.71, 0.78)","0.90 (0.88, 0.92)","0.90 (0.88, 0.92)","0.78 (0.76, 0.80)","0.83 (0.81, 0.85)","0.94 (0.93, 0.95)",0.108,42,21
Generative LGBN,Simplified Golem $\cap$ Simplified PCMB,"0.55 (0.51, 0.60)","0.85 (0.82, 0.87)","0.78 (0.76, 0.80)","0.76 (0.74, 0.78)","0.77 (0.75, 0.79)","0.91 (0.90, 0.92)",0.101,88,5
XGB,Simplified Golem $\cap$ Simplified PCMB,"0.76 (0.73, 0.80)","0.90 (0.89, 0.92)","0.90 (0.88, 0.92)","0.79 (0.77, 0.81)","0.83 (0.81, 0.85)","0.94 (0.94, 0.95)",0.102,88,5
Generative LGBN,Simplified Clinician Consensus $\cap$ Simplified Golem,"0.57 (0.52, 0.61)","0.85 (0.82, 0.87)","0.78 (0.76, 0.81)","0.76 (0.74, 0.79)","0.77 (0.75, 0.79)","0.91 (0.90, 0.92)",0.102,69,4
XGB,Simplified Clinician Consensus $\cap$ Simplified Golem,"0.74 (0.70, 0.77)","0.89 (0.87, 0.91)","0.89 (0.87, 0.91)","0.78 (0.76, 0.80)","0.82 (0.80, 0.84)","0.94 (0.93, 0.95)",0.106,69,4
