k,n_patients,n_pos,AUPRC,AUROC
547,87,1,0.04,0.7267441860465116
548,87,1,0.043478260869565216,0.7441860465116279
549,86,0,,
550,85,0,,
551,85,0,,
552,85,0,,
553,80,0,,
554,80,0,,
555,78,0,,
556,78,0,,
557,77,0,,
558,77,0,,
559,77,0,,
560,77,0,,
561,77,0,,
562,77,0,,
563,77,0,,
564,76,0,,
565,76,0,,
566,76,0,,
567,76,0,,
568,76,0,,
569,76,0,,
570,76,0,,
571,76,0,,
572,76,0,,
573,76,0,,
574,76,0,,
575,76,0,,
576,76,0,,
577,76,0,,
578,76,0,,
579,76,0,,
580,76,0,,
581,76,0,,
582,76,0,,
583,75,0,,
584,74,0,,
585,74,0,,
586,74,0,,
587,74,0,,
588,74,0,,
589,74,0,,
590,74,0,,
591,73,0,,
592,72,0,,
593,72,0,,
594,72,0,,
595,72,0,,
596,72,0,,
597,70,0,,
598,69,0,,
599,68,0,,
600,67,0,,
601,66,0,,
602,65,0,,
603,65,0,,
604,64,0,,
605,64,0,,
606,64,0,,
607,64,0,,
608,64,0,,
609,64,0,,
610,64,0,,
611,64,0,,
612,64,0,,
613,64,0,,
614,63,0,,
615,62,0,,
616,62,0,,
617,62,0,,
618,62,0,,
619,61,0,,
620,61,0,,
621,61,0,,
622,61,0,,
623,61,0,,
624,61,0,,
625,61,0,,
626,60,0,,
627,60,0,,
628,59,0,,
629,59,0,,
630,58,0,,
631,58,0,,
632,58,0,,
633,58,0,,
634,58,0,,
635,58,0,,
