Feature,count
SB_BinaryStats_diff_longstretch0,10
SP_Summaries_welch_rect_centroid,7
SB_TransitionMatrix_3ac_sumdiagcov,4
CO_f1ecac,4
PD_PeriodicityWang_th0_01,2
FC_LocalSimple_mean1_tauresrat,2
SP_Summaries_welch_rect_area_5_1,1
MD_hrv_classic_pnn40,1
